LevelID,levelType,CorrectTarget,correctStandardContent,incorrectTarget,incorrectTargetStandardContent
11,match,n,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA,p|a|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
12,match,p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA,n|a|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
13,match,a,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA,n|p|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
14,match,p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA,n|a|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
15,match,m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA,n|p|a,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA
16,match,t,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA,n|p|a|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
17,match,n,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA,t|p|a|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
18,match,p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA,t|n|a|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
19,match,a,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA,t|n|p|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
20,match,c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA,t|n|p|a,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_a_Grapheme-a-IBA
21,matchfirst,(c)at,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA,p|m|t|n,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA
22,matchfirst,(p)an,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA,m|t|n|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
23,matchfirst,(m)ap,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA,p|t|n|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
24,matchfirst,(t)ap,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA,p|m|n|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
25,matchfirst,(n)ap,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA,p|m|t|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
26,matchfirst,(t)an,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA,c|m|p|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
27,matchfirst,(c)ap,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA,t|m|p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA
28,matchfirst,(m)at,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA,t|c|p|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
29,matchfirst,(p)at,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA,t|c|m|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
30,matchfirst,(c)an,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA,t|m|p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA
31,matchfirst,(c)at,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA,n|m|t|p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA
32,matchfirst,(c)ap,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA,n|m|t|p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA
33,matchfirst,(m)ap,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA,c|n|t|p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA
34,matchfirst,(t)ap,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA,c|n|m|p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA
35,matchfirst,(p)an,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA,c|n|m|t,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_t_Grapheme-t-IBA
36,spelling,c|a|t,http://www.ontologyrepository.com/CommonCoreOntologies/Morpheme_cat,n|p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA
37,spelling,p|a|n,http://www.ontologyrepository.com/CommonCoreOntologies/Morpheme_pan,l|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_l_Grapheme-l-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
38,spelling,m|a|t,http://www.ontologyrepository.com/CommonCoreOntologies/Morpheme_mat,c|n,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA
39,spelling,p|a|t,http://www.ontologyrepository.com/CommonCoreOntologies/Morpheme_pat,c|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
40,spelling,t|a|n,http://www.ontologyrepository.com/CommonCoreOntologies/Morpheme_tan,n|p,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_p_Grapheme-p-IBA
41,spelling,m|a|p,http://www.ontologyrepository.com/CommonCoreOntologies/Morpheme_map,c|n,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA
42,spelling,t|a|p,http://www.ontologyrepository.com/CommonCoreOntologies/Morpheme_tap,m|n,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA
43,spelling,c|a|p,http://www.ontologyrepository.com/CommonCoreOntologies/Morpheme_cap,n|c,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA
44,spelling,n|a|p,http://www.ontologyrepository.com/CommonCoreOntologies/Morpheme_nap,c|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_k_Grapheme-c-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
45,spelling,c|a|n,http://www.ontologyrepository.com/CommonCoreOntologies/Morpheme_can,n|m,http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_n_Grapheme-n-IBA|http://www.ontologyrepository.com/CommonCoreOntologies/Phoneme_m_Grapheme-m-IBA
